artista,nombre_cancion,popularidad,fecha_lanzamiento,genero
Gene Pokorny,Six Studies in English Folksong,16,1995,pop
Gene Pokorny,Six Studies in English Folksong,11,1995,pop
Gene Pokorny,Sonata in G Major,11,1995,pop
Gene Pokorny,Six Studies in English Folksong,10,1995,pop
Gene Pokorny,Six Studies in English Folksong,10,1995,pop
Gene Pokorny,Six Studies in English Folksong,9,1995,pop
Gene Pokorny,Six Studies in English Folksong,8,1995,pop
Gene Pokorny,Partita in A minor for Flute Alone BMV 1013,7,1995,pop
Gene Pokorny,Capriccio for Tuba and Marimba,5,2001,pop
Gene Pokorny,Theme and Variations on the Blue Bells of Scotland,5,1995,pop
Rauw Alejandro,Qué Pasaría...,91,2024-11-15,pop
Rauw Alejandro,Khé?,89,2024-11-15,pop
Rauw Alejandro,Santa,81,2024-04-03,pop
Rauw Alejandro,Todo De Ti,82,2021-12-10,pop
Rauw Alejandro,LOKERA,83,2023-01-24,pop
Rauw Alejandro,Desesperados,82,2021-12-10,pop
Rauw Alejandro,Tiroteo - Remix,83,2021-04-01,pop
Rauw Alejandro,Tú Con Él,83,2024-11-15,pop
Rauw Alejandro,La Old Skul,82,2021-12-10,pop
Rauw Alejandro,Desenfocao',82,2021-12-10,pop
Shakira,Hips Don't Lie (feat. Wyclef Jean),88,2005-11-28,pop
Shakira,Soltera,85,2024-09-25,pop
Shakira,TQG,83,2023-02-24,pop
Shakira,Chantaje (feat. Maluma),84,2017-05-26,pop
Shakira,Antologia,83,1995-10-06,pop
Shakira,"Ciega, Sordomuda",82,1998-09-29,pop
Shakira,Dia de Enero,81,2005-06-03,pop
Shakira,Las de la Intuición,81,2005-06-03,pop
Shakira,Inevitable,81,1998-09-29,pop
Shakira,"Shakira: Bzrp Music Sessions, Vol. 53",80,2023-01-11,pop
The Weeknd,Timeless (feat Playboi Carti),95,2025-01-31,pop
The Weeknd,"One Of The Girls (with JENNIE, Lily Rose Depp)",94,2023-06-23,pop
The Weeknd,RATHER LIE (with The Weeknd),91,2025-03-14,pop
The Weeknd,Starboy,91,2016-11-25,pop
The Weeknd,Blinding Lights,90,2020-03-20,pop
The Weeknd,Die For You,87,2016-11-24,pop
The Weeknd,Cry For Me,89,2025-01-31,pop
The Weeknd,São Paulo (feat. Anitta),88,2025-01-31,pop
The Weeknd,The Hills,88,2015-08-28,pop
The Weeknd,Save Your Tears,87,2020-03-20,pop
Taylor Swift,Cruel Summer,91,2019-08-23,pop
Taylor Swift,Fortnight (feat. Post Malone),85,2024-04-18,pop
Taylor Swift,cardigan,86,2020-07-24,pop
Taylor Swift,Lover,86,2019-08-23,pop
Taylor Swift,august,86,2020-07-24,pop
Taylor Swift,I Can Do It With a Broken Heart,83,2024-04-18,pop
Taylor Swift,Blank Space,83,2014-01-01,pop
Taylor Swift,I Don’t Wanna Live Forever (Fifty Shades Darker),84,2017-11-09,pop
Taylor Swift,Don’t Blame Me,85,2017-11-10,pop
Taylor Swift,Anti-Hero,84,2022-10-21,pop
Luis Miguel,Ahora Te Puedes Marchar,80,1987-07-15,pop
Luis Miguel,La Incondicional,78,1988-11-25,pop
Luis Miguel,Hasta Que Me Olvides,78,1993,pop
Luis Miguel,La Media Vuelta,77,1994-08-30,pop
Luis Miguel,Culpable O No - Miénteme Como Siempre,77,1988-11-25,pop
Luis Miguel,Tengo Todo Excepto a Ti,75,1990-01-01,pop
Luis Miguel,No Sé Tú,75,1991-11-19,pop
Luis Miguel,Por Debajo De La Mesa,73,1997-08-12,pop
Luis Miguel,Entrégate,74,1990-01-01,pop
Luis Miguel,Sabes Una Cosa,73,2005-09-06,pop
Feid,LUNA,90,2023-12-01,pop
Feid,+57,85,2024-11-08,pop
Feid,PERRO NEGRO,85,2023-10-13,pop
Feid,Feliz Cumpleaños Ferxxo,82,2022-09-14,pop
Feid,SE ME OLVIDA,83,2024-08-23,pop
Feid,Hey Mor,82,2022-10-07,pop
Feid,CLASSY 101,80,2023-12-01,pop
Feid,SORRY 4 THAT MUCH,82,2024-06-07,pop
Feid,Normal,81,2022-09-14,pop
Feid,LA INOCENTE,80,2022-04-01,pop
Drake,NOKIA,94,2025-02-14,pop
Drake,DIE TRYING,89,2025-02-14,pop
Drake,One Dance,88,2016-05-06,pop
Drake,She Will,82,2011-08-29,pop
Drake,Passionfruit,86,2017-03-18,pop
Drake,WAIT FOR U (feat. Drake & Tems),85,2022-04-29,pop
Drake,God's Plan,85,2018-06-29,pop
Drake,Headlines,84,2011-11-15,pop
Drake,Jimmy Cooks (feat. 21 Savage),82,2022-06-17,pop
Drake,GIMME A HUG,82,2025-02-14,pop
Maluma,+57,85,2024-11-08,pop
Maluma,Borro Cassette,85,2015-10-30,pop
Maluma,Según Quién,82,2023-08-25,pop
Maluma,Hawái,83,2020-08-21,pop
Maluma,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",83,2016-10-07,pop
Maluma,El Perdedor,83,2015-10-30,pop
Maluma,Cosas Pendientes,82,2024-11-21,pop
Maluma,POR QUÉ SERÁ,78,2024-05-10,pop
Maluma,Felices los 4,78,2018-05-18,pop
Maluma,Créeme,76,2019-05-03,pop
Bruno Mars,Die With A Smile,91,2025-03-07,pop
Bruno Mars,APT.,92,2024-12-06,pop
Bruno Mars,Just the Way You Are,89,2010-05-11,pop
Bruno Mars,Locked out of Heaven,91,2012-12-07,pop
Bruno Mars,That's What I Like,90,2016-11-17,pop
Bruno Mars,When I Was Your Man,90,2012-12-07,pop
Bruno Mars,Talking to the Moon,85,2010-05-11,pop
Bruno Mars,Marry You,84,2010-05-11,pop
Bruno Mars,Grenade,83,2010-05-11,pop
Bruno Mars,It Will Rain,69,2011-09-27,pop
Lady Gaga,Die With A Smile,91,2025-03-07,pop
Lady Gaga,Abracadabra,88,2025-03-07,pop
Lady Gaga,Poker Face,82,2008-01-01,pop
Lady Gaga,Just Dance,80,2008-01-01,pop
Lady Gaga,Bad Romance,88,2009-11-05,pop
Lady Gaga,Shallow,86,2018-10-05,pop
Lady Gaga,Always Remember Us This Way,86,2018-10-05,pop
Lady Gaga,Garden Of Eden,87,2025-03-07,pop
Lady Gaga,Judas,77,2011-01-01,pop
Lady Gaga,Disease,83,2025-03-07,pop
Billie Eilish,BIRDS OF A FEATHER,100,2024-05-17,pop
Billie Eilish,WILDFLOWER,96,2024-05-17,pop
Billie Eilish,CHIHIRO,91,2024-05-17,pop
Billie Eilish,Guess featuring billie eilish,87,2024-10-11,pop
Billie Eilish,lovely (with Khalid),89,2018-04-19,pop
Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",88,2023-07-13,pop
Billie Eilish,ocean eyes,76,2016-11-18,pop
Billie Eilish,when the party's over,88,2019-03-29,pop
Billie Eilish,LUNCH,87,2024-05-17,pop
Billie Eilish,TV,87,2022-07-21,pop
Ariana Grande,we can't be friends (wait for your love),89,2024-03-08,pop
Ariana Grande,twilight zone,81,2025-03-27,pop
Ariana Grande,dandelion,76,2025-03-27,pop
Ariana Grande,One Last Time,86,2014-08-22,pop
Ariana Grande,warm,73,2025-03-27,pop
Ariana Grande,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,82,2020-03-20,pop
Ariana Grande,Into You,70,2016-05-20,pop
Ariana Grande,Hampstead,69,2025-03-27,pop
Ariana Grande,the boy is mine,84,2024-03-08,pop
Ariana Grande,past life,70,2025-03-27,pop
Ozuna,Se Preparó,83,2017-08-25,pop
Ozuna,Hey Mor,82,2022-10-07,pop
Ozuna,Diles,81,2016-08-26,pop
Ozuna,Más Que Tú,80,2025-02-12,pop
Ozuna,Vaina Loca,80,2018-08-24,pop
Ozuna,Despeinada,78,2020-09-04,pop
Ozuna,Adicto (with Anuel AA & Ozuna),78,2019-08-22,pop
Ozuna,Ahora Dice,77,2017-03-17,pop
Ozuna,Dile Que Tu Me Quieres,77,2017-08-25,pop
Ozuna,Criminal,77,2017-09-01,pop
Don Omar,Danza Kuduro,85,2010-01-01,pop
Don Omar,Dile,84,2003-01-01,pop
Don Omar,Salió El Sol,83,2006-01-01,pop
Don Omar,Virtual Diva,78,2009-01-01,pop
Don Omar,Ojitos Chiquitos,79,2006-01-01,pop
Don Omar,Guaya Guaya,80,2015-06-16,pop
Don Omar,Taboo,78,2010-01-01,pop
Don Omar,Dutty Love,78,2012-01-01,pop
Don Omar,Hooka,78,2010-01-01,pop
Don Omar,Dale Don Dale,77,2003-01-01,pop
Lana Del Rey,Summertime Sadness,86,2012-01-01,pop
Lana Del Rey,Young And Beautiful,88,2013-01-01,pop
Lana Del Rey,Cinnamon Girl,88,2019-08-30,pop
Lana Del Rey,Say Yes To Heaven,86,2023-05-19,pop
Lana Del Rey,West Coast,85,2014-01-01,pop
Lana Del Rey,Brooklyn Baby,85,2014-01-01,pop
Lana Del Rey,Video Games,80,2012-01-01,pop
Lana Del Rey,"Henry, come on",83,2025-04-11,pop
Lana Del Rey,Margaret (feat. Bleachers),83,2023-03-24,pop
Lana Del Rey,Diet Mountain Dew,80,2012-01-01,pop
Coldplay,Yellow,93,2000-07-10,pop
Coldplay,Viva La Vida,90,2008-06-06,pop
Coldplay,Something Just Like This,90,2017-04-07,pop
Coldplay,The Scientist,90,2002-08-27,pop
Coldplay,A Sky Full of Stars,90,2014-05-16,pop
Coldplay,Sparks,89,2000-07-10,pop
Coldplay,Fix You,88,2005-06-07,pop
Coldplay,Clocks,88,2002-08-27,pop
Coldplay,Adventure of a Lifetime,87,2015-12-04,pop
Coldplay,Paradise,87,2011-10-24,pop
Morat,Cuando Nadie Ve,80,2018-10-25,pop
Morat,Besos En Guerra,80,2018-10-25,pop
Morat,No Se Va,80,2018-10-25,pop
Morat,Me Toca A Mí,78,2025-03-28,pop
Morat,Cómo Te Atreves,77,2016-06-17,pop
Morat,A Dónde Vamos,75,2021-07-16,pop
Morat,Aprender A Quererte,76,2016-06-17,pop
Morat,LOS DOS,75,2024-05-10,pop
Morat,Porfa no te vayas,74,2022-11-11,pop
Morat,Debí Suponerlo,75,2022-11-04,pop
Manuel Turizo,En Privado,89,2025-02-06,pop
Manuel Turizo,La Bachata,83,2023-03-17,pop
Manuel Turizo,Vagabundo,83,2023-05-12,pop
Manuel Turizo,El Merengue,78,2023-11-03,pop
Manuel Turizo,UNA CERVEZA,81,2023-10-20,pop
Manuel Turizo,Desconocidos,80,2019-05-03,pop
Manuel Turizo,Qué Pecao,73,2024-11-22,pop
Manuel Turizo,Quiéreme Mientras Se Pueda,74,2021-04-09,pop
Manuel Turizo,Una Lady Como Tú,72,2019-08-23,pop
Manuel Turizo,Sigueme Besando Asi,69,2024-11-22,pop
Romeo Santos,Khé?,89,2024-11-15,pop
Romeo Santos,Propuesta Indecente,83,2014-02-25,pop
Romeo Santos,Eres Mía,82,2014-02-25,pop
Romeo Santos,Imitadora,82,2017-07-21,pop
Romeo Santos,Llévame Contigo,81,2012-08-27,pop
Romeo Santos,X SI VOLVEMOS,79,2023-02-24,pop
Romeo Santos,Odio (feat. Drake),79,2014-02-25,pop
Romeo Santos,Loco,71,2014-01-01,pop
Romeo Santos,ÁNGEL,79,2024-07-25,pop
Romeo Santos,Necio (feat. Carlos Santana),78,2014-02-25,pop
Sabrina Carpenter,Espresso,91,2024-08-23,pop
Sabrina Carpenter,Taste,92,2024-08-23,pop
Sabrina Carpenter,Please Please Please,88,2024-08-23,pop
Sabrina Carpenter,Busy Woman,92,2025-02-14,pop
Sabrina Carpenter,Bed Chem,89,2024-08-23,pop
Sabrina Carpenter,Juno,89,2024-08-23,pop
Sabrina Carpenter,Nonsense,88,2022-07-15,pop
Sabrina Carpenter,Feather,87,2023-03-17,pop
Sabrina Carpenter,15 Minutes,86,2025-02-14,pop
Sabrina Carpenter,Good Graces,85,2024-08-23,pop
Yuridia,Qué Agonía,75,2022-10-20,pop
Yuridia,Ya Te Olvidé,76,2011-12-13,pop
Yuridia,Sin Llorar,71,2025-02-07,pop
Yuridia,¿Y Qué Tal Si Funciona?,71,2022-10-20,pop
Yuridia,Me Hace Tanto Bien,70,2022-10-20,pop
Yuridia,Amigos No por Favor (Primera Fila) - En Vivo,70,2017-11-24,pop
Yuridia,Llévate,69,2025-02-07,pop
Yuridia,Un Bendito Día,68,2025-02-07,pop
Yuridia,¿Con Qué Se Pega un Corazón?,68,2022-10-20,pop
Yuridia,Te Equivocaste,69,2015-10-09,pop
Alejandro Fernández,Me Dediqué a Perderte,82,2004-09-01,pop
Alejandro Fernández,Sé Que Te Duele,75,2017-01-13,pop
Alejandro Fernández,El Ultimo Adiós - Varios Artistas Version,74,2001-11-21,pop
Alejandro Fernández,Me Hace Tanto Bien,72,2009-01-01,pop
Alejandro Fernández,Como Quien Pierde una Estrella,70,1995,pop
Alejandro Fernández,Hoy Tengo Ganas De Ti,71,2013-01-01,pop
Alejandro Fernández,Qué Voy a Hacer Con Mi Amor,71,2004-09-01,pop
Alejandro Fernández,Caballero,69,2020-02-14,pop
Alejandro Fernández,Canta Corazón,70,2004-09-01,pop
Alejandro Fernández,Un Bendito Día,68,2025-02-07,pop
Rihanna,Breakin' Dishes,87,2008-06-02,pop
Rihanna,We Found Love,80,2011-11-19,pop
Rihanna,Only Girl (In The World),87,2010-01-01,pop
Rihanna,Don't Stop The Music,85,2008-06-02,pop
Rihanna,Umbrella,85,2008-06-02,pop
Rihanna,Love On The Brain,87,2016-01-28,pop
Rihanna,S&M,85,2010-01-01,pop
Rihanna,Stay,76,2012-01-01,pop
Rihanna,Diamonds,75,2012-01-01,pop
