ranking,cancion,artista,popularidad,fecha_lanzamiento
1,*Sobs Quietly*,Mom Jeans.,63,2016-07-03
2,*Equip Sunglasses*,Hot Mulligan,62,2020-03-06
3,**CUDN’T B ME**,Jessie Reyez,62,2025-03-28
4,***Flawless (feat. Chimamanda Ngozi Adichie),Beyoncé,65,2014-11-24
5,**NYB**,Jessie Reyez,63,2025-03-28
6,**6LESSINGS (with 6LACK)**,Jessie Reyez,61,2025-03-28
7,**BEGGIN 4 LUV**,Jessie Reyez,59,2025-03-28
8,**GOLIATH**,Jessie Reyez,59,2025-03-28
9,**I NEVER SAID I WAS SANE**,Jessie Reyez,58,2025-03-28
10,**PSILOCYBIN & DAISIES**,Jessie Reyez,57,2025-03-28
11,**HEAD N HEADACHES (with LIL YACHTY)**,Jessie Reyez,57,2025-03-28
12,**PALO SANTO**,Jessie Reyez,56,2025-03-28
13,**RIDIN (with LIL WAYNE)**,Jessie Reyez,55,2025-03-28
14,**NIGHTS WE'LL NEVER HAVE**,Jessie Reyez,55,2025-03-28
15,**JEANS (with MIGUEL)**,Jessie Reyez,55,2025-03-28
16,**GUESS IMU**,Jessie Reyez,55,2025-03-28
17,Bye Bye Bye,*NSYNC,83,2000-03-21
18,**GOLIATH**,Jessie Reyez,62,2025-01-31
19,*****JUST LIKE THAT (with ARI LENNOX)*****,Jessie Reyez,54,2025-03-28
20,*****FREE*****,Jessie Reyez,53,2025-03-28
21,**L.O.Y.L.**,Jessie Reyez,53,2025-03-28
22,**TORONTO SHORDIE**,Jessie Reyez,53,2025-03-28
23,**BEEN ABOUTA YEAR**,Jessie Reyez,53,2025-03-28
24,**BROTHER (with DEYAZ)**,Jessie Reyez,53,2025-03-28
25,*****SHUT UP (with BIG SEAN)*****,Jessie Reyez,52,2025-03-28
26,**PSILOCYBIN & DAISIES**,Jessie Reyez,59,2025-03-07
27,**GOAT NOTE**,Jessie Reyez,9,2025-03-28
28,It's Gonna Be Me,*NSYNC,74,2000-03-21
29,＊〜アスタリスク〜,ORANGE RANGE,61,2005
30,***HIDDEN TRACK***,Prince Daddy & the Hyena,49,2015
31,Better Place (From TROLLS Band Together),*NSYNC,67,2023-09-29
32,Tearin' up My Heart - Radio Edit,*NSYNC,68,1997
33,*5 STAR*,THEY.,46,2025-02-14
34,**GOLIATH**,Jessie Reyez,45,2025-03-07
35,Bring It All to Me (feat. *NSYNC),Blaque,58,1999-05-28
36,I Want You Back - Radio Edit,*NSYNC,65,1997
37,This I Promise You,*NSYNC,68,2000-03-21
38,Bye Bye Bye,*NSYNC,57,2014-07-29
39,Better Place (From TROLLS Band Together),*NSYNC,60,2023-10-20
40,Tearin' up My Heart - Radio Edit,*NSYNC,63,1997-05-26
41,Pop,*NSYNC,60,2001-07-23
42,*YOU HAVE 1 NEW VOICEMAIL*,RIDERS,40,2023-10-13
43,Calm Sea Sounds For Bedtime,Ocean Sounds,60,2023-03-08
44,"Hungry Eyes - From ""Dirty Dancing"" Soundtrack",Eric Carmen,80,1997
45,*_*,LVL UP,39,2011-10-01
46,Better Place (Reunion),*NSYNC,56,2023-10-20
47,Girlfriend,*NSYNC,56,2001-07-23
48,* Consecrate *,Parachute Band,38,2012-01-27
49,Gone,*NSYNC,56,2001-07-23
50,Paradise (feat. *NSYNC),Justin Timberlake,52,2024-03-15
